id,title,uri,Grading,Internal Comment, Number,Address,City,Postcode, Country,Email Address,About,Display Centre, Store Address,Publish Date,Sells Cladding,Sells Decking,Lat,Lng,Telephone Number,Telephone Number 2,Key Distributor,Premier Distributor,Approved Installer,Type of Installer,Website
6666,Arnold Laver,/location/arnold-laver-0,,,Arnold Laver,12 Flaxley Road,Peterborough,PE2 9FT,United Kingdom,peterborough@laver.co.uk,,Off,United Kingdom,"Wed, 06/26/2024 - 15:48",On,On,52.54716707,-0.2392494,1733742140,,,1,,Premier Distributor,
6661,Arnold Laver,/location/arnold-laver-oldbury,,,Arnold Laver,Dudley Road,Oldbury,B69 3DA,United Kingdom,birminghamsales@laver.co.uk,,Off,United Kingdom,"Wed, 06/26/2024 - 15:45",On,On,52.50715414,-2.0229218,1215527788,,,1,,Premier Distributor,
6651,Arnold Laver,/location/arnold-laver-Reading,,,Arnold Laver,"478 Basingstoke Road,",Reading,RG2 0QN,United Kingdom,reading@laver.co.uk,,Off,United Kingdom,"Wed, 06/26/2024 - 14:10",On,On,51.42490232,-0.97117135,1189751100,,,1,,Premier Distributor,
6646,Arnold Laver,/location/arnold-laver-Rainham,,,Arnold Laver,Rainham,Rainham,RH13 8RS,United Kingdom,london@laver.co.uk,,Off,United Kingdom,"Wed, 06/26/2024 - 13:59",On,On,51.52365257,0.1745834,01708 529500,,,1,,Premier Distributor,
6641,Arnold Laver,/location/arnold-laver-Sunderland,,,Arnold Laver - Sunderland,Moor Terrace,Sunderland,SR1 2PA,United Kingdom,sunderlandsales@laver.co.uk,,Off,United Kingdom,"Wed, 06/26/2024 - 13:48",On,On,54.90557957,-1.3652215,1915144663,,,1,,Premier Distributor,
6636,Arnold Laver,/location/arnold-laver-Sheffield,,,Mosborough,Olympic Sawmills,Sheffield,S20 8GN,United Kingdom,sheffieldsales@laver.co.uk,,Off,United Kingdom,"Wed, 06/26/2024 - 13:40",On,On,53.32472072,-1.3427496,1142764700,,,1,,Premier Distributor,
6621,Cladco,/location/cladco,,,Cladco Profiles Ltd,Beardown Road,"Okehampton, Devon",EX20 1UA,United Kingdom,info@cladco.co.uk,"Cladco Profiles is an independently owned family-run company, established by Leslie Trescher in 1972.
Having always worked closely with their customers, the team at Cladco Profiles provides helpful, expert advice for every project, whatever shape and size, with their continued investment in product development increasing regularly to meet their customers’ demands.
Their dedication to providing a high-quality service stems from a passion for customer satisfaction, and whilst they have grown over the years, they haven’t forgotten their modest village roots in Devon. Since growing the business and moving to larger premises in Okehampton back in 2004, Cladco Profiles has continued to provide the same family-run service they have always been proud to offer their customers.
Cladco has further expanded over the past year to an additional premise in Okehampton, as well as the NEW Andover location to expand their range of Composite outdoor products to increase capacity for their customers.
Cladco Profiles Andover now allows customers to collect Decking, Cladding, and more from an easily accessible location.
 ",Off,United Kingdom,"Mon, 06/24/2024 - 09:32",On,On,50.74191702,-3.98178265,01837 659901,,,1,,Premier Distributor,
6616,Scorfield Landscapes,/location/scorfield-landscapes,,,Unit 5,Sandbeck Park,Wetherby,LS22 7TW,United Kingdom,info@scorfield.co.uk,,Off,United Kingdom,"Fri, 06/21/2024 - 09:12",Off,Off,53.93829147,-1.3809415,1937589600,,,,1,Approved Installer,https://www.scorfield.co.uk
6596,Bosworths Landscaping,/location/bosworths-landscaping,,,Bosworth's Landscaping Ltd,"110 Finedon Road,",Northants,NN15 5QA,United Kingdom,manager@bosworthslandscaping.co.uk,,Off,United Kingdom,"Tue, 06/18/2024 - 15:46",Off,Off,52.35566842,-0.68425955,01536 722635,,,,1,Approved Installer,https://bosworthslandscaping.co.uk/
6591,Stone Wood Saw,/location/stone-wood-saw,,,Stone Wood Saw,The Grove,Woking,GU21 4AF,United Kingdom,info@stonewoodsaw.co.uk,"The Stone Wood Saw Company provide high quality Millboard decking and residential landscaping services for clients in Woking, Weybridge, Guildford, Camberley and the surrounding areas. They specialize in Millboard decking installations and are trained and accredited by Millboard as Approved Installers. The team at Stone Wood Saw have over 40 years of building and landscaping experience covering all aspects of domestic landscaping.",Off,United Kingdom,"Tue, 06/18/2024 - 15:26",Off,Off,51.32390107,-0.5557473,7767806571,,,,1,Approved Installer,https://www.stonewoodsaw.co.uk/
6586,TimberRoc,/location/timberroc,,,37 Woodmansterne Lane,,Banstead,SM7 3HA,United Kingdom,info@timberroc.co.uk,"TIMBER | ROC are master craftsmen with many years of experience and limitless designs, both internal and external. We will work directly with you from the first initial meeting, right through until completion. We take pleasure in making your creative ideas become reality.",Off,United Kingdom,"Tue, 06/18/2024 - 15:08",Off,Off,51.32458722,-0.1787683,7912185416,,,,1,Approved Installer,http://www.timberroc.co.uk/
6581,Bright River Ltd,/location/bright-river-ltd,,,6 St Peters Street,,Hertfordshire,AL1 3LF,United Kingdom,info@brightriverltd.com,"Your premier destination for high-quality Millboard composite decking in Hertfordshire. With over five years of dedication, we specialize in designing and installing exceptional outdoor spaces tailored to your vision. Our commitment to excellence and innovation sets us apart, as we offer unique deck designs featuring curves, built-in planters, and bespoke water features. Our eco-friendly approach includes using ground screws for foundations to ensure durability without harming the environment, and our joists are waterproofed for longevity.",Off,United Kingdom,"Tue, 06/18/2024 - 14:59",Off,Off,51.75237902,-0.3382745,01727 613233,,,,1,Approved Installer,https://www.brightriverltd.com/
6556,V4 Design Centre,/location/v4-design-centre,,,V4 Design Centre,Greenbays Park,"Horsell, Surrey",GU21 4YP,United Kingdom,showroom@v4.co.uk,"Our spacious showroom houses an unrivalled choice of styles and finishes in plank, and parquet formats that include herringbone, chevron and decorative design panels. We have floors milled from reclaimed oak and amazing bespoke floors which can be finished to complement any interior. Our laminate floors offer the same level of quality at unbeatable value. We also have an extensive range of installation essentials and floor care accessories and don’t forget to browse our timber wall cladding. Then take a seat at one of our solid oak bench and dining table sets whilst flicking through the latest brochure with a cup of hot coffee.
 ",Display Center,United Kingdom,"Tue, 02/06/2024 - 15:35",Off,On,51.32963197,-0.59040625,01276 488099,,,1,,Premier Distributor,https://www.v4.co.uk/
6551,Hythe Garden Showroom,/location/hythe-garden-showroom,,,Hythe Garden Showroom,"King's Yard, The Street","Canterbury, Kent",CT4 6JQ,United Kingdom,info@compositecds.co.uk,"Hythe Garden Landscapes have been delivering the highest level of service to both domestic and commercial clients since 2001. Our steady growth is a result of our excellent reputation for high-end landscaping and horticultural services. We execute each project with the utmost care and attention to detail. When you choose HGL, you can be sure you are in safe hands.",Display Center,United Kingdom,"Tue, 02/06/2024 - 15:35",Off,On,51.21582154,1.141000077,01303 656016,,,1,,Premier Distributor,https://compositecds.co.uk/
6546,Nigel Belcher Stone Paving,/location/nigel-belcher-stone-paving,,,Nigel Belcher Stone Paving,Rookery Farm House,Thatcham,RG18 9LY,United Kingdom,info@nigelbelcherstone.co.uk,"Nigel Belcher Stone Paving was established 45 years ago and supplies many of the premier landscape gardeners in the South East. Millboard decking and cladding has become a best-selling product line and is an integral part of their business.
A small team with expert knowledge, they pride themselves on delivering a positive customer experience, whilst helping you search for the perfect materials to create your dream garden.  ",Display Center,United Kingdom,"Tue, 02/06/2024 - 15:35",Off,On,51.43899444,-1.284298003,01635 202 700,,,1,,Premier Distributor,https://www.nigelbelcherstone.co.uk/
6541,Outdoor Living Show Garden,/location/outdoor-living-show-garden,,,Show Garden - The Outdoor Living Co.,162 St Clair St,Kirkcaldy,KY1 2BZ,United Kingdom,office@theoutdoorliving.co.uk,"The Outdoor Living Show Garden has been created by The Landscape Brothers, a family business established in 2008.
Stemming from a passion for nature, outdoor living and high-quality landscaping, they offer a range of services for a one-stop shop for a complete garden transformation – from professional garden design to landscape construction and unique outdoor living products. ",Display Center,United Kingdom,"Tue, 02/06/2024 - 15:35",Off,On,56.126077,-3.139726,01592 655 567,,,1,,Premier Distributor,https://theoutdoorliving.co.uk/
6531,AVS Guildford,/location/avs-guildford,,,AVS Guildford,Unit 1 AVS Trading Park,"Milford, Godalming",GU8 5HE,United Kingdom,BranchGuildford@avsfencing.co.uk,,Off,United Kingdom,"Mon, 06/03/2024 - 13:07",Off,On,51.17429354,-0.64587534,01483 410 960,,,1,,Premier Distributor,
6526,Lawsons Colney Heath,/location/lawsons-colney-heath,,,Lawsons,Tyttenhanger Farm,"Colney Heath, St Albans",AL4 0PG,United Kingdom,colneyheath@lawsons.co.uk,,Off,United Kingdom,"Mon, 06/03/2024 - 11:50",Off,On,51.73062096,-0.266474,1727747320,,,1,,Premier Distributor,
6521,Lawsons Acton,/location/lawsons-acton,,,Lawsons,2/4 Colville Road,"Acton, London",W3 8BL,United Kingdom,acton@lawsons.co.uk,,Off,United Kingdom,"Mon, 06/03/2024 - 11:50",Off,On,51.49861712,-0.273580121,2089921177,,,1,,Premier Distributor,
6516,Lawsons New Malden,/location/lawsons-new-malden,,,Lawsons,"Unit 16, Adams Industrial Estate","New Malden, Surrey",KT3 3SQ,United Kingdom,newmalden@lawsons.co.uk,,Off,United Kingdom,"Mon, 06/03/2024 - 11:50",Off,On,51.40493951,-0.273982641,2083361188,,,1,,Premier Distributor,
6511,Lawsons Whetstone,/location/lawsons-whetstone,,,Lawsons,1208 High Road,"Whetstone, London",N20 0LL,United Kingdom,whetstone@lawsons.co.uk,,Off,United Kingdom,"Mon, 06/03/2024 - 11:50",Off,On,51.62851879,-0.174251518,2084461321,,,1,,Premier Distributor,
6506,Lawsons Ascot,/location/lawsons-ascot,,,Lawsons,Englemere Sawmill,"Ascot, Berkshire",SL5 8DG,United Kingdom,ascot@lawsons.co.uk,,Off,United Kingdom,"Mon, 06/03/2024 - 11:50",Off,On,51.41098837,-0.6999313,1344885451,,,1,,Premier Distributor,
6446,Maple Plastics,/location/maple-plastics,,,Maple Plastics,"Unit 4-6, Charter Way","Macclesfield, Cheshire",SK10 2NG,United Kingdom,mike@mapleplastics.co.uk,,Off,United Kingdom,"Mon, 04/22/2024 - 15:22",On,On,53.27319842,-2.1137139,07468 462793,,,1,,Premier Distributor,https://www.mapleplastics.co.uk/millboard-composite-decking/
6421,The Outdoor Scene,/location/outdoor-scene,,,The Outdoor Scene,2 Goatstown Rd,Dublin,D14 HC57,Ireland,sales@outdoor.ie,"Whether you're looking for a small outdoor space to relax in or a grand design to impress your guests, The Outdoor Scene Showroom in Goatstown, Dublin, will be able to cater to your every need.A testament to the absolute best landscaping and outdoor living products on the market, this incredible showroom is full of ideas and inspiration to get your creative juices flowing. Including both Millboard decking and Envello cladding, The Outdoor Scene Showroom also has an expanded offering of the latest and greatest in outdoor kitchen products, such as pizza ovens, garden furniture, BBQ's and much more.Visit The Outdoor Scene Showroom today or learn more by calling 01 296 0212 or emailing sales@outdoor.ie",Display Center,Ireland,"Tue, 02/06/2024 - 15:35",On,On,53.29324722,-6.2302759,01 296 0212,,,1,,Premier Distributor,https://www.outdoor.ie/
6281,Paul Wood Landscaping,/location/paul-wood-landscaping,,,Paul Wood Landscaping,11 Bramley Way,"West Malling, Kent",ME19 4BD,United Kingdom,info@paulwoodlandscaping.com,"Paul Wood Landscaping is based in West Malling, Kent and is a business specialising in all aspects of garden landscaping and building, from patios, driveways, fencing and turfing to complete garden design. Paul can also offer external and internal building work, and is a skilled brick layer.Paul has several years experience and is only too happy to work with the client to find an affordable way of making the most of your outdoor space. Whether you're looking to replace old paving, or create a new area with decking, Paul can help find the best solution to suit you.Paul studied Garden Design at Hadlow College and attained a City & Guilds qualification. Accordingly, he is  well placed to help design your garden and offer advice on which plants and shrubs are most suitable to your needs/requirements.Please get in touch for a no obligation quote, and for some friendly and helpful advice.",Off,United Kingdom,"Wed, 03/13/2024 - 17:10",Off,Off,51.26759282,0.39565185,01732 872361,07795 954901,,,1,Approved Installer,
6276,Laywoods Decking,/location/laywoods-decking,,,Laywoods Decking,23 Ham Green,Bristol,BS20 0EY,United Kingdom,info@laywoods.com,"Laywoods Decking - Quality, Professional Decking Installation. 
We specialise in decking projects with a focus on attention to detail, whilst delivering quality that’s built to last. 
Timber and composite decking design and build throughout Bristol and surrounding areas.",Off,United Kingdom,"Wed, 03/13/2024 - 16:44",Off,Off,51.47759062,-2.6815822,7773334418,,,,1,Approved Installer,https://laywoods.com/
6271,Open Habitat,/location/open-habitat,,,Open Habitat,6-8 Peterborough Mews,London,SW6 3BL,United Kingdom,enquiries@openhabitat.co.uk,"We exist to give you the opportunity to live your life in a supremely flexible indoor/outdoor space. We offer unique options to create a sophisticated and luxury space at your property or commercial premises.
Our products focus on sophisticated functionality and beautiful outdoor living, whether that’s giving you the ability to adapt your environment to changing weather conditions with a retractable roof, or providing you with an unrivalled decking experience with premium resin composite materials.
It’s time to realise the breathtaking new possibilities for you and your outside space.",Display Center,United Kingdom,"Tue, 02/06/2024 - 15:35",Off,On,51.47237117,-0.19972645,0207 371 5525,,,1,,Premier Distributor,https://openhabitat.co.uk/
6231,V4,/location/v4,,,V4,Greenbays Park,Horsell,GU21 4YP,United Kingdom,,,Off,United Kingdom,"Fri, 03/01/2024 - 17:34",Off,On,51.32963197,-0.59040625,01276 488099,,,1,,Premier Distributor,https://www.v4.co.uk/
6221,Sydenhams Builders Merchant Cheltenham,/location/sydenhams-builders-merchant-cheltenham,,,Sydenhams Builders Merchant Cheltenham,"Jupiter Court, Meteor Business Park",Gloucester,GL2 9QL,United Kingdom,sales.cheltenham@sydenhams.co.uk,,Off,United Kingdom,"Fri, 03/01/2024 - 10:28",On,On,51.89576382,-2.06296845,01452 712108,,1,,,KEY Distributor,https://www.sydenhams.co.uk/
6206,The Deck Dude,/location/deck-dude,,,"The Deck Dude,",Bewick Mews,London,SE15 1QR,United Kingdom,info@thedeckdude.co.uk,"The Deck Dude is passionate about installing functional & contemporary; timber and composite products in gardens across London. We have a low maintenance approach to planting and a focus on durable products.
Keri has a unique background from the corporate world at Deloitte to over a decade of landscaping experience. He uses this diverse background to work with our clients to achieve gardens that they love to use, but with functionality and space saving always at the forefront.",Off,United Kingdom,"Wed, 02/28/2024 - 21:09",Off,Off,51.47706932,-0.0616217,7861730542,,,,1,Approved Installer,https://www.thedeckdude.co.uk/
6201,Kebur Garden Materials,/location/kebur-garden-materials,,,Kebur Garden Materials,2 Lynchford Lane,Farnborough,GU14 6JD,United Kingdom,sales@kebur.co.uk,,Off,United Kingdom,"Wed, 02/28/2024 - 21:00",Off,On,51.27621857,-0.7335384,01252 517571,,,1,,Premier Distributor,https://www.kebur.co.uk/
6196,Decked Out Composites,/location/decked-out-composites,,,,"Squire's Garden Centre, Epsom Road",Leatherhead,KT24 6AR,United Kingdom,sales@deckedoutcomposites.com,,Display Center,United Kingdom,"Wed, 02/28/2024 - 20:51",Off,On,51.26267113,-0.448510854,01483 617896,,,1,,Premier Distributor,https://www.deckedoutcomposites.co.uk
6191,Sydenhams Timber Centre,/location/sydenhams-timber-centre,,,Sydenhams Timber Centre,Porchestall Drove,Glastonbury,BA6 9LX,United Kingdom,sales.glastonbury@sydenhams.co.uk,,Off,United Kingdom,"Wed, 02/28/2024 - 20:34",On,On,51.14631027,-2.731404752,01458 836400,,,1,,Premier Distributor,https://www.sydenhams.co.uk/
6016,Millboard Belfast,/showroom/belfast-showroom,,,Millboard Belfast Showroom,"62 Trench Rd, Mallusk",Newtownabbey,BT36 4LB,United Kingdom,,,Off,United Kingdom,"Tue, 02/06/2024 - 20:23",Off,On,54.68237004,-6.004473495,,,,,,,
81,Travis Perkins Wimborne,/location/travis-perkins-wimborne,,,35 Cobham Rd,Cobham Rd,Wimborne,BH21 7PF,United Kingdom,Ferndown@TravisPerkins.co.uk,,Off,United Kingdom,,Off,On,50.81175334,-1.918059245,01202 863444,,,1,,Premier Distributor,https://www.travisperkins.co.uk/
86,Kingsbury Builders Merchants (Potters Bar),/location/kingsbury-builders-merchants-potters-bar,,,Unit 1-2 Cranborne Ind Est,Cranborne Road,Potters Bar,EN6 3JN,United Kingdom,,,Display Center,United Kingdom,,On,On,51.70606233,-0.201356159,020 7482 4661,,,,,,https://www.living-outdoors.co.uk/
91,Conway Landscapes UK Ltd,/location/conway-landscapes-uk-ltd,,,Great Hallingbury,,Bishops Stortford,CM22 7TQ,United Kingdom,cormac@conwaylandscapes.com,,Off,United Kingdom,,Off,Off,51.86960796,0.205330988,1279508887,7713681196,,,1,Approved Installer,https://www.conwaylandscapes.com/
101,W H Bond,/location/w-h-bond,,,Bake Sawmill,Trerulefoot,Saltash,PL12 5BW,United Kingdom,,,Off,United Kingdom,,On,On,50.40034672,-4.365274588,01503 240304,,,1,,Premier Distributor,https://whbond.co.uk/
106,MGM Timber (Scotland) Clydebank,/location/mgm-timber-scotland-clydebank,,,"Business Park, Units 4 & 5 Bleasdale Court Clydebank","CV2 5DB Unit A, Castle Court, Bodmin Road,",Glasgow,G81 2LE,United Kingdom,John.Thomson@mgmtimber.com,,Off,United Kingdom,,Off,Off,55.90593009,-4.40737641,0141 435 3424,,1,,,KEY Distributor,https://www.mgmtimber.co.uk/
116,RGC Services,/location/rgc-services,,,RGC Services,3 Champions Green,Herts,EN11 9NE,United Kingdom,rgcservices@hotmail.co.uk,,Off,United Kingdom,,Off,Off,51.77491275,-0.008128358,7768033198,,,,1,Approved Installer,
121,Monarch Lawn & Landscape,/location/monarch-lawn-landscape,,,20 Glebe Rd,Chalfont St Peter,Gerrards Cross,SL9 9NJ,United Kingdom,carvillc@hotmail.com,,Off,United Kingdom,,Off,Off,51.6081568,-0.565551436,1753888205,7786835514,,,1,Approved Installer,
126,Eaton Carpentry Ltd,/location/eaton-carpentry-ltd,,,77,Fore Street,Topsham,EX3 0HQ,United Kingdom,amanda.cook@eatoncarpentry.co.uk,,Off,United Kingdom,,Off,Off,50.68412853,-3.466129704,01392 876275,07399 587504,,,1,Approved Installer,https://www.eatoncarpentry.co.uk/contact-us
131,Craft Landscapes Ltd,/location/craft-landscapes-ltd,,,Craft Landscpaes,Childswickham,Broadway,WR12 7HY,United Kingdom,craftlandscapesltd@outlook.com,,Off,United Kingdom,,Off,Off,52.05273605,-1.922099842,7934096136,,,,1,Approved Installer,https://craftlandscapes.co.uk/
141,Creative Landscaping Works,/location/creative-landscaping-works,,,Lisnenan,,Letterkenny,F92 CV09,Ireland,info@creativelandscapingworks.com,,Off,Ireland,,On,On,54.96220588,-7.711487772,3.53749E+11,,,,,,https://creativelandscapingworks.com/contact/
146,MKM Building Supplies Oban,/location/mkm-building-supplies-oban,,,MKM Building Supplies Oban,"Unit 7a, Glengallan Road",Oban,PA34 4HG,United Kingdom,oban@mkmbs.co.uk,,Off,United Kingdom,,Off,On,56.39697539,-5.48664667,01631 694 500,,1,,,KEY Distributor,https://mkm.com/
151,MKM Building Supplies Peterhead,/location/mkm-building-supplies-peterhead,,,MKM Building Supplies Peterhead,Sandford Business Park,Peterhead,AB42 3FX,United Kingdom,peterhead@MKMBS.co.uk,,Off,United Kingdom,,Off,On,57.48595891,-1.800850314,01779 568 888,,1,,,KEY Distributor,https://mkm.com/
156,MKM Building Supplies Elgin,/location/mkm-building-supplies-elgin,,,MKM Building Supplies Elgin,The Wards,Elgin,V30 6AA,United Kingdom,elgin@mkmbs.co.uk,,Off,United Kingdom,,Off,On,57.64143342,-3.317890102,01343 323 200,,,1,,Premier Distributor,https://mkm.com/
161,MKM Building Supplies Airdrie,/location/mkm-building-supplies-airdrie,,,MKM Building Supplies Airdrie,30 Stirling Road,Airdrie,ML6 7JA,United Kingdom,airdrie@mkmbs.co.uk,,Off,United Kingdom,,Off,On,55.87731056,-3.965190049,01236 750 216,,1,,,KEY Distributor,https://mkm.com/branches/airdrie
166,MKM Building Supplies Carlisle,/location/mkm-building-supplies-carlisle,,,MKM Building Supplies Carlisle,Kingmoor Park East,Carlisle,CA6 4SQ,United Kingdom,carlisle@mkmbs.co.uk,,Off,United Kingdom,,Off,On,54.92626378,-2.961698846,01228 934 777,,1,,,KEY Distributor,https://mkm.com/
171,Chandlers Building Supplies Ltd - Thanet,/location/chandlers-building-supplies-ltd-thanet,,,Chandlers Building Supplies,Units 1 & 3 Old Timber Yard,Ramsgate,CT12 6HJ,United Kingdom,thanet@chandlersbs.co.uk,,Off,United Kingdom,,On,On,51.33994804,1.38704571,01843 808250,,,1,,Premier Distributor,http://www.chandlersbs.co.uk/
176,Huws Gray Arbroath,/location/huws-gray-arbroath,,,Huws Gray Arbroath,Peasiehill Road,Arbroath,DD11 2NJ,United Kingdom,arbroath@huwsgray.co.uk,,Off,United Kingdom,,On,On,56.55302681,-2.618049958,01241 430 003,,1,,,KEY Distributor,https://www.buildbase.co.uk/
181,Aquapoolco Ltd,/location/aquapoolco-ltd,,,Bridge Cottage,Hambridge,Langport,TA10 0BP,United Kingdom,sales@aquapoolco.org.uk,,Off,United Kingdom,,Off,Off,50.99539222,-2.859457529,7595877502,,,,1,Approved Installer,
186,Moor Landscaping,/location/moor-landscaping,,,159,Palace Meadow,Devon,TQ13 0PH,United Kingdom,moorlandscaping@gmail.com,,Off,United Kingdom,,Off,Off,50.59906533,-3.601802689,7782540375,,,,1,Approved Installer,
191,GL Joinery and Property Maintenance,/location/gl-joinery-and-property-maintenance,,,22,Church Lane,Warmsworth,DN4 9NS,United Kingdom,glevitt77@gmail.com,,Off,United Kingdom,,Off,Off,53.50342935,-1.172804003,7401812818,,,,1,Approved Installer,
196,City and Garden,/location/city-and-garden,,,145,Tilbury Road,Leyton,E10 6RE,United Kingdom,info@roof-space.com,City & Garden has garnered over 30 years of experience in supply and installation of Luxury gardens and rooftop conversions.,Display Center,United Kingdom,,On,On,51.5703,-0.0094,0207 0315731,07939 843981,,,,,https://www.cityandgarden.co.uk/
201,Bannister Hall Nurseries and Landscape Supplies,/location/bannister-hall-nurseries-and-landscape-supplies,,,Bannister Hall nurseries and landscape supplies,Potter Ln,Preston,PR5 4EN,United Kingdom,sales@bannisterhall.co.uk,,Off,United Kingdom,,On,On,53.75240012,-2.629784762,1772877087,,,1,,Premier Distributor,https://www.bannisterhall.com/
206,Tropical Landscaping Ltd,/location/tropical-landscaping-ltd,,,32,Vera Road,"Rackheath, Norwich",NR13 6QP,United Kingdom,tropicallandscapingltd@gmail.com,,Off,United Kingdom,,Off,Off,52.67230382,1.377853484,7771884331,,,,1,Approved Installer,
211,GW Landscaping And Design Ltd,/location/gw-landscaping-and-design-ltd,,,Dabbling CL,,Erith,DA8 2HW,United Kingdom,info@gwlandscapeanddesign.co.uk,,Off,United Kingdom,,Off,Off,51.47579023,-0.196499349,7411711119,,,,1,Approved Installer,https://www.gwlandscapedesign.com
216,Seahorse Construction Ltd,/location/seahorse-construction-ltd,,,47 Kingfisher Rd,Portishead,Bristol,BS20 7NF,United Kingdom,dom@seahorseconstruction.co.uk,,Off,United Kingdom,,Off,Off,51.49005595,-2.750430113,7584014918,,,,1,Approved Installer,
221,Home Garden Design,/location/home-garden-design,,,48 Priory Way,Haywards Heath,West Sussex,RH16 3LT,United Kingdom,pgreenyer@homegardendesign.co.uk,,Off,United Kingdom,,Off,Off,50.99851466,-0.095244473,7949671951,,,,1,Approved Installer,
226,Flawless Landscapes,/location/flawless-landscapes,,,19 Willow road,Potton,"Sandy, Bedfordshire",SG19 2PH,United Kingdom,info@flawlesslandscapes.co.uk,,Off,United Kingdom,,Off,Off,52.12927154,-0.218795102,08000 337 889,,,,1,Approved Installer,https://www.flawlesslandscapes.co.uk/contact-us/
231,Macform Ltd,/location/macform-ltd,,,Ryben House,,"Carluke,",ML8 4HA,United Kingdom,smccluskey@macform.co.uk,,Off,United Kingdom,,Off,Off,55.7744132,-3.930006144,1555752794,,,,1,Approved Installer,
236,My Lovely Lawn Limited,/location/my-lovely-lawn-limited,,,142,Cromwell Road,Kensington / London,SW7 4EF,United Kingdom,hello@mylovelylawn.com,,Off,United Kingdom,,Off,Off,51.49497317,-0.187586473,2034323002,7775389429,,,1,Approved Installer,
241,Brooks & Co Developments,/location/the-carpentry-company-kent,,,Suite 28,2 Mount Sion,Kent,TN1 1UE,United Kingdom,Office@brooksdevelopments.co.uk,,Off,United Kingdom,,Off,Off,51.12713707,-0.260406355,07919 362657,,,,1,Approved Installer,https://www.thecarpentryco.uk/
251,DeckZone,/location/deckzone,,,Composite House,"Unit 3, Belle Vue Ave",Manchester,M12 4AS,United Kingdom,,,Off,United Kingdom,,Off,On,53.4604703,-2.198434,0161 989 5973,,,,,,https://www.deckzone.co.uk/
256,West Hill Garden Design,/location/west-hill-garden-design,,,West Hill Garden Design,"7 Lodge Hill Industrial Estate, Station Road",Wells,BA5 1EY,United Kingdom,info@westhillgardenservices.co.uk,,Display Center,United Kingdom,,Off,Off,51.23297744,-2.719752224,01749 321 123,,,,1,Approved Installer,https://westhillgardenservices.co.uk/
