id,title,uri,Grading,Internal Comment, Number,Address,City,Postcode, Country,Email Address,About,Display Centre, Store Address,Publish Date,Sells Cladding,Sells Decking,Lat,Lng,Telephone Number,Telephone Number 2,Key Distributor,Premier Distributor,Approved Installer,Type of Installer,Website
11,RGC Services,/location/rgc-services,,,RGC Services,3 Champions Green,Herts,EN11 9NE,United Kingdom,rgcservices@hotmail.co.uk,,Off,United Kingdom,,Off,Off,51.77491275,-0.008128358,7768033198,,,,1,Approved Installer,
12,Monarch Lawn & Landscape,/location/monarch-lawn-landscape,,,20 Glebe Rd,Chalfont St Peter,Gerrards Cross,SL9 9NJ,United Kingdom,carvillc@hotmail.com,,Off,United Kingdom,,Off,Off,51.6081568,-0.565551436,1753888205,7786835514,,,1,Approved Installer,
13,Eaton Carpentry Ltd,/location/eaton-carpentry-ltd,,,77,Fore Street,Topsham,EX3 0HQ,United Kingdom,amanda.cook@eatoncarpentry.co.uk,,Off,United Kingdom,,Off,Off,50.68412853,-3.466129704,01392 876275,07399 587504,,,1,Approved Installer,https://www.eatoncarpentry.co.uk/contact-us
14,Craft Landscapes Ltd,/location/craft-landscapes-ltd,,,Craft Landscpaes,Childswickham,Broadway,WR12 7HY,United Kingdom,craftlandscapesltd@outlook.com,,Off,United Kingdom,,Off,Off,52.05273605,-1.922099842,7934096136,,,,1,Approved Installer,https://craftlandscapes.co.uk/
15,Aquapoolco Ltd,/location/aquapoolco-ltd,,,Bridge Cottage,Hambridge,Langport,TA10 0BP,United Kingdom,sales@aquapoolco.org.uk,,Off,United Kingdom,,Off,Off,50.99539222,-2.859457529,7595877502,,,,1,Approved Installer,
16,Moor Landscaping,/location/moor-landscaping,,,159,Palace Meadow,Devon,TQ13 0PH,United Kingdom,moorlandscaping@gmail.com,,Off,United Kingdom,,Off,Off,50.59906533,-3.601802689,7782540375,,,,1,Approved Installer,
17,GL Joinery and Property Maintenance,/location/gl-joinery-and-property-maintenance,,,22,Church Lane,Warmsworth,DN4 9NS,United Kingdom,glevitt77@gmail.com,,Off,United Kingdom,,Off,Off,53.50342935,-1.172804003,7401812818,,,,1,Approved Installer,
18,Tropical Landscaping Ltd,/location/tropical-landscaping-ltd,,,32,Vera Road,"Rackheath, Norwich",NR13 6QP,United Kingdom,tropicallandscapingltd@gmail.com,,Off,United Kingdom,,Off,Off,52.67230382,1.377853484,7771884331,,,,1,Approved Installer,
19,GW Landscaping And Design Ltd,/location/gw-landscaping-and-design-ltd,,,Dabbling CL,,Erith,DA8 2HW,United Kingdom,info@gwlandscapeanddesign.co.uk,,Off,United Kingdom,,Off,Off,51.47579023,-0.196499349,7411711119,,,,1,Approved Installer,https://www.gwlandscapedesign.com
20,Seahorse Construction Ltd,/location/seahorse-construction-ltd,,,47 Kingfisher Rd,Portishead,Bristol,BS20 7NF,United Kingdom,dom@seahorseconstruction.co.uk,,Off,United Kingdom,,Off,Off,51.49005595,-2.750430113,7584014918,,,,1,Approved Installer,
21,Home Garden Design,/location/home-garden-design,,,48 Priory Way,Haywards Heath,West Sussex,RH16 3LT,United Kingdom,pgreenyer@homegardendesign.co.uk,,Off,United Kingdom,,Off,Off,50.99851466,-0.095244473,7949671951,,,,1,Approved Installer,
22,Flawless Landscapes,/location/flawless-landscapes,,,19 Willow road,Potton,"Sandy, Bedfordshire",SG19 2PH,United Kingdom,info@flawlesslandscapes.co.uk,,Off,United Kingdom,,Off,Off,52.12927154,-0.218795102,08000 337 889,,,,1,Approved Installer,https://www.flawlesslandscapes.co.uk/contact-us/
23,Macform Ltd,/location/macform-ltd,,,Ryben House,,"Carluke,",ML8 4HA,United Kingdom,smccluskey@macform.co.uk,,Off,United Kingdom,,Off,Off,55.7744132,-3.930006144,1555752794,,,,1,Approved Installer,
24,My Lovely Lawn Limited,/location/my-lovely-lawn-limited,,,142,Cromwell Road,Kensington / London,SW7 4EF,United Kingdom,hello@mylovelylawn.com,,Off,United Kingdom,,Off,Off,51.49497317,-0.187586473,2034323002,7775389429,,,1,Approved Installer,
25,Brooks & Co Developments,/location/the-carpentry-company-kent,,,Suite 28,2 Mount Sion,Kent,TN1 1UE,United Kingdom,Office@brooksdevelopments.co.uk,,Off,United Kingdom,,Off,Off,51.12713707,-0.260406355,07919 362657,,,,1,Approved Installer,https://www.thecarpentryco.uk/
26,West Hill Garden Design,/location/west-hill-garden-design,,,West Hill Garden Design,"7 Lodge Hill Industrial Estate, Station Road",Wells,BA5 1EY,United Kingdom,info@westhillgardenservices.co.uk,,Display Center,United Kingdom,,Off,Off,51.23297744,-2.719752224,01749 321 123,,,,1,Approved Installer,https://westhillgardenservices.co.uk/
27,Great Outdoors Ltd,/location/great-outdoors-ltd,,,Great Outdoors Ltd,Unit 42 Snugborough Trading,Braddan,IM4 4LQ,United Kingdom,outdoorsiom@gmail.com,,Off,United Kingdom,,Off,Off,54.16976729,-4.504302609,07624 472 904,,,,1,Approved Installer,
28,Westhill Garden Services,/location/westhill-garden-services,,,,Station Road,Westbury-sub-Mendip,BA5 1EY,United Kingdom,info@westhillgardenservices.co.uk,,Off,United Kingdom,,Off,Off,51.23371393,-2.716982042,01749 321 123,,,,1,Approved Installer,
29,Exeter Composite,/location/exeter-composite,,,13,Croft Chase,Exeter,EX4 1TB,United Kingdom,info@exetercomposite.co.uk,,Off,United Kingdom,,Off,Off,50.71571205,-3.557824573,8000197993,,,,1,Approved Installer,
30,The Torbay Composite Company LTD,/location/torbay-composite,,,Cayman Golf,Dartmouth Road,Churston,TQ5 0JT,United Kingdom,info@torbaycomposite.co.uk,,Off,United Kingdom,,Off,Off,50.39524663,-3.550651973,1803925198,,,,1,Approved Installer,
31,IJT Landscaping,/location/ijt-landscaping,,,1 South Lodge,The Avenue,Stanton,SN6 7SE,United Kingdom,ian@ijtlandscaping.co.uk,,Off,United Kingdom,,Off,Off,51.60831207,-1.739465802,1793934426,,,,1,Approved Installer,
32,Elmswood Ltd,/location/elmswood-ltd,,,7 Carronhall,,Stonehaven,AB39 2QF,United Kingdom,simonelms@elmswood.com,,Off,United Kingdom,"Wed, 06/12/2024 - 15:16",Off,Off,56.96234172,-2.21663475,07793 573 805,,,,1,Approved Installer,http://www.elmswood.com/
33,Eden Paving & Driveways (Eden Alfresco),/location/eden-paving-driveways-eden-alfresco,,,Scaur House,Langwathby,Penrith,CA10 1LW,United Kingdom,info@edenpavinganddriveways.co.uk,,Off,United Kingdom,,Off,Off,54.61431,-2.89982,07548 934 281,,,,1,Approved Installer,
34,Minster Decking,/location/minster-decking,,,45,Minster View,Wimborne,BH21 1BA,United Kingdom,,,Off,United Kingdom,,Off,Off,50.80267262,-1.982755744,07447 772696,,,,1,Approved Installer,
35,Andy Ross Timber Frame Ltd,/location/andy-ross-timber-frame-ltd,,,Aldersyde,Burgh-by-Sands,Carlisle,CA5 6AW,United Kingdom,andyrosstimberframeltd@gmail.com,,Off,United Kingdom,,Off,Off,54.92742544,-3.051170717,7984637743,,,,1,Approved Installer,
36,Hide Paving,/location/hide-paving,,,12,Rookery Way,Lower Kingswood,KT20 7DY,United Kingdom,sales@hidepaving.co.uk,,Off,United Kingdom,,Off,Off,51.26859894,-0.213912219,07454 783920,,,,1,Approved Installer,
37,Solent Garden,/location/solent-garden,,,1,Grantham Ave,Southampton,SO31 4JX,United Kingdom,sgsltd1@outlook.com,,Off,United Kingdom,,Off,Off,50.86148839,-1.328580715,7787594682,,,,1,Approved Installer,
38,Designer Exteriors,/location/designer-exteriors,,,40,Withens Avenue,Sheffield,S6 1WE,United Kingdom,info@dex-uk.com,"Decking design & install specialists based in Sheffield covering all of South Yorkshire and into Derbyshire, Peak District & West Yorkshire. We are a small professional team of 2 Matthew & Nigel. Having over 20 years experience in the general landscaping business we now fully concentrate on decking and associated timber/composite products such as Fencing, Pergola, Planters & In-build furniture. We also offer lighting in with our decking schemes.",Off,United Kingdom,"Fri, 07/12/2024 - 09:19",Off,Off,53.41285074,-1.509150302,7368596391,0114 6982310,,,1,Approved Installer,https://designerexteriors.co.uk/
39,Salcombe Interiors Ltd,/location/salcombe-interiors-ltd,,,9 West View Terrace,Main Rd,Salcombe,TQ8 8AB,United Kingdom,salcombeinteriors@gmail.com,,Off,United Kingdom,,Off,Off,50.23587539,-3.777956969,7462616633,,,,1,Approved Installer,
40,Modern Living,/location/modern-living,,,17A,Sutton Court Road,Sutton,SM1 4FG,United Kingdom,info@mqmodernliving.com,,Off,United Kingdom,,Off,Off,51.36094601,-0.190661429,7981885476,,,,1,Approved Installer,
41,Puzzled Monkey Landscapes Ltd,/location/puzzled-monkey-landscapes-ltd,,,Castlebrae Business Centre Unit 33,40 Peffer Pl,Edinburgh,EH16 4BB,United Kingdom,enquiries@sprucegardenservices.com,,Off,United Kingdom,,Off,Off,55.93478274,-3.137810232,07725 648 481,,,,1,Approved Installer,
42,Morrison Groundcare,/location/morrison-groundcare,,,20,Clermiston Loan,Edinburgh,EH4 7PE,United Kingdom,Morrisongroundcare@hotmail.com,,Off,United Kingdom,,Off,Off,55.95998831,-3.287332715,07584 220 259,,,,1,Approved Installer,
43,Lechkin Fencing Services Limited,/location/lechkin-fencing-services-limited,,,Lechkin Cottage,,Comrie,PH6 2LX,United Kingdom,gavin@lechkin.co.uk,,Off,United Kingdom,,Off,Off,56.37588052,-3.852478559,01764 671122,,,,1,Approved Installer,
44,Forbes Solutions Ltd,/location/forbes-solutions-ltd,,,10,Woodland Gardens,Daviot,AB51 0NJ,United Kingdom,nick@forbes-solutions.co.uk,,Off,United Kingdom,,Off,Off,57.3455755,-2.4311185,07841 674 547,,,,1,Approved Installer,
45,Cairngorm Building Services,/location/cairngorm-building-services,,,11,Drummond Road,Aviemore,PH22 1UG,United Kingdom,info@cbshighland.co.uk,,Off,United Kingdom,,Off,Off,57.20342481,-3.821448759,1479811224,,,,1,Approved Installer,
46,CassiDecks,/location/cassidecks,,,34,John Street,Gourock,PA19 1PT,United Kingdom,info@cassidecks.com,,Off,United Kingdom,,Off,Off,55.95817852,-4.818626471,7984171856,,,,1,Approved Installer,
47,Aidan Gregory Building Services Ltd,/location/aidan-gregory-building-services-ltd,,,Ach na Caltain,Ardfern,Argyll,PA31 8QN,United Kingdom,aidan.gregory@yahoo.com,,Off,United Kingdom,,Off,Off,56.18144642,-5.538015182,07702 722 161,,,,1,Approved Installer,
48,Aberbuild,/location/aberbuild,,,10,Fare Park Gardens,Westhill,AB32 6WL,United Kingdom,info@aberbuild.com,,Off,United Kingdom,,Off,Off,57.15779187,-2.284652015,07709 426812,,,,1,Approved Installer,
49,212 Solutions,/location/212-solutions,,,34,Cromwell Way,Pirton,SG5 3RD,United Kingdom,richard@212solutions.co.uk,,Off,United Kingdom,,Off,Off,51.9736147,-0.3308388,07581 343438,,,,1,Approved Installer,
50,Pip Smith Landscape Design,/location/pip-smith-landscape-design,,,36,Sandles Road,Droitwich,WR9 8RA,United Kingdom,hello@pipsmith.co.uk,,Off,United Kingdom,,Off,Off,52.24943165,-2.151589442,01905 928438,,,,1,Approved Installer,
51,SW London Landscaping,/location/sw-london-landscaping,,,10,Sheen Lane,London,SW14 8LL,United Kingdom,swlondonlandscaping@gmail.com,,Off,United Kingdom,,Off,Off,51.46827544,-0.267105553,07786 260 444,,,,1,Approved Installer,
52,Neville Carpentry and Joinery,/location/neville-carpentry-and-joinery,,,11 Crab Tree Drive,Crab Tree Drive,Leatherhead,KT22 8LW,United Kingdom,scottneville36@gmail.com,,Off,United Kingdom,,Off,Off,51.28164347,-0.318810515,7801069138,,,,1,Approved Installer,
53,Matthews Garden Services & Landscapes,/location/matthew-garden-services-landscapes,,,24,Stivichall Croft,Coventry,CV3 6GN,United Kingdom,MatthewsGardenServices@outlook.com,,Off,United Kingdom,,Off,Off,52.38906041,-1.518155017,07787 545566,,,,1,Approved Installer,
54,Mahl Renovations,/location/mahl-renovations,,,Unit 4,Whitworth court,Cheshire,WA7 1WA,United Kingdom,chris@mahlrenovations.com,,Off,United Kingdom,,Off,Off,53.34810069,-2.662134471,01928 644863,,,,1,Approved Installer,
55,Greenstone Cornwall,/location/greenstone-cornwall,,,The Warehouse,Anchor Quay,Penryn,TR10 8GZ,United Kingdom,info@greenstonecornwall.co.uk,,Off,United Kingdom,"Wed, 03/13/2024 - 13:59",Off,Off,50.16679663,-5.099209217,07771 800822,,,,1,Approved Installer,
56,Green Life Landscaping,/location/green-life-landscaping,,,10,Albermarle Road,Worcester,WR2 5FY,United Kingdom,enquiries@greenlifelandscaping.co.uk,,Off,United Kingdom,,Off,Off,52.18575775,-2.262159175,01905 964719,,,,1,Approved Installer,
57,Daniel porter,/location/daniel-porter,,,1,Finley Drive,Kendal,LA9 6DN,United Kingdom,dporter.enquiries@gmail.com,,Off,United Kingdom,,Off,Off,54.33893838,-2.739579844,07980 363 156,,,,1,Approved Installer,
58,Melville Joinery and Construction,/location/melville-joinery-and-construction,,,16,Haddow Street,Hamilton,ML3 7HX,United Kingdom,,,Off,United Kingdom,,Off,Off,55.77220895,-4.036146044,7701359220,,,,1,Approved Installer,
59,Plas-Deck,/location/plas-deck,,,27,Deepwood Close,Cardiff,CF5 4SJ,United Kingdom,,,Off,United Kingdom,,Off,Off,51.47693053,-3.271248102,7496164722,,,,1,Approved Installer,https://deckplas.com
60,R & A Garden Landscapes,/location/r-a-garden-landscapes,,,10,Dowar Road,Birmingham,B45 8RA,United Kingdom,,,Off,United Kingdom,,Off,Off,52.39378778,-1.997411031,7411619228,7411619228,,,1,Approved Installer,
61,Matt O'Connor,/location/matt-oconnor,,,,,,,United Kingdom,mattlisheen@yahoo.ie,,Off,United Kingdom,,Off,Off,53.1423672,-7.6920536,3.54E+11,,,,1,Approved Installer,
62,Thomas Crummy,/location/thomas-crummy,,,,,,,United Kingdom,info@thomasjcrummy.com,,Off,United Kingdom,,Off,Off,53.1423672,-7.6920536,719663086,,,,1,Approved Installer,
63,Sensational Spaces Ltd,/location/sensational-spaces-ltd,,,8,Mill Hill,Shoreham-By-Sea,BN43 5TH,United Kingdom,shaun@sensational-spaces.co.uk,,Off,United Kingdom,,Off,Off,50.84290247,-0.278768886,07904 389858,,,,1,Approved Installer,
64,Silverstream Landscapes,/location/silverstream-landscapes,,,,Silverstream,Drumacruttan,H18 X974,United Kingdom,mark@silverstreamlandscapes.ie,,Off,United Kingdom,,Off,Off,54.27033439,-6.933371273,00353 47 71788,,,,1,Approved Installer,
65,Ruby Sheen,/location/ruby-sheen,,,73,Claife Avenue,Windermere,LA23 2LH,United Kingdom,tomnicholas@rubysheen.co.uk,,Off,United Kingdom,,Off,Off,54.37552361,-2.898610801,07733 486 009,,,,1,Approved Installer,
66,Steve Noone Landscaping,/location/steeve-noone-landscaping,,,Ballincar Cottages,,,,United Kingdom,steve@stevenoonelandscaping.ie,,Off,United Kingdom,,Off,Off,54.30906462,-8.506392269,0035386 8673230,,,,1,Approved Installer,
67,Katsura Gardens,/location/katsura-gardens,,,1,Beeches Ln,Ashurstwood,RH19 3RN,United Kingdom,philip@katsuragardens.co.uk,,Off,United Kingdom,,Off,Off,51.1142996,0.0236064,01342 851 385,,,,1,Approved Installer,
68,Evoke Landscape Design Ltd,/location/evoke-landscape-design-ltd,,,38,Pellon Terrace,Bradford,BD10 8PA,United Kingdom,info@evoke-landscape-design.co.uk,,Off,United Kingdom,,Off,Off,53.84009421,-1.729985971,07948 385067,,,,1,Approved Installer,
69,Boundaries Scotland,/location/boundaries-scotland,,,9,Wateryetts Dr,Kilmacolm,PA13 4QP,United Kingdom,boundaries@hotmail.co.uk,,Off,United Kingdom,,Off,Off,55.9000068,-4.628774126,07949 190 059,,,,1,Approved Installer,
70,Bespoke Landscapes,/location/bespoke-landscapes,,,4,Millerstone Rise,Kirkby Thore,CA10 1XH,United Kingdom,info@bespokelandscapesandbuilds.co.uk,,Off,United Kingdom,,Off,Off,54.62613693,-2.558902413,07889 867055,,,,1,Approved Installer,
71,Outdoor Heaven,/location/outdoor-heaven,,,Award Leisure,Mobberley Road,Knutsford,WA16 8JF,United Kingdom,info@awardleisurecheshire.co.uk,,Off,United Kingdom,,Off,Off,53.31085244,-2.352570284,1565750850,,,,1,Approved Installer,
72,Langley Landscapes,/location/langley-landscapes,,,74,Mill Lane,Belper,DE56 1LH,United Kingdom,langleylandscape@btconnect.com,,Off,United Kingdom,,Off,Off,53.02087081,-1.470591657,1773420830,,,,1,Approved Installer,
73,Olive Tree Landscaping,/location/olive-tree-landscaping,,,39,Lilestone Street,London,NW8 8SS,United Kingdom,info@olive-tree-landscaping.co.uk,,Off,United Kingdom,,Off,Off,51.52547673,-0.167532373,07599 445 202,,,,1,Approved Installer,
74,All Seasons Landscapes,/location/all-seasons-landscapes,,,2 Wylam Ct,Westland Way,Stockton-on-Tees,TS18 3FB,United Kingdom,allseasonslandscapes@aol.com,,Display Center,United Kingdom,,Off,Off,54.54876839,-1.320729114,07970 013 065,,,,1,Approved Installer,
75,Premium Design Construction,/location/premium-design-construction,,,3,Gregory Avenue,Potters Bar,EN6 5PR,United Kingdom,email@premiumdesignconstruction.com,,Off,United Kingdom,,Off,Off,51.69199869,-0.175022802,1707850785,,,,1,Approved Installer,
76,Elevate Decking,/location/elevate-decking,,,19,Abingdon View,Worksop,S81 7RT,United Kingdom,,,Off,United Kingdom,,Off,Off,53.33155727,-1.139952978,,,,,1,Approved Installer,
77,The  Lapa Company UK Ltd,/location/the-lapa-company-uk-ltd,,,"Unit 15, Orchard Place Business Centre",Seven Mile Lane,Borough Green,TN15 8QU,United Kingdom,info@thelapacompany.co.uk,,Off,United Kingdom,,Off,Off,51.28636704,0.352536063,1732884030,,,,1,Approved Installer,
78,Whalley Construction,/location/whalley-construction,,,Unit 10,Hall Moss Business Park,Darwen,BB3 2TT,United Kingdom,,,Off,United Kingdom,,Off,Off,53.67434948,-2.452217433,,,,,1,Approved Installer,
79,The Garden Yard,/location/the-garden-yard,,,,Union Street,Grantham,NG31 6NZ,United Kingdom,Anthony@thegardenyard.co.uk,,Off,United Kingdom,,Off,Off,52.91465702,-0.64557103,7962155830,,,,1,Approved Installer,
80,EcoOasis Landscapes,/location/ecooasis-landscapes,,,38,Ringmore Rise,London,SE23 3DE,United Kingdom,ecooasislandscapes@outlook.com,,Off,United Kingdom,,Off,Off,51.44478844,-0.059521444,7972249420,,,,1,Approved Installer,
81,Halcyon Landscapes,/location/halcyon-landscapes,,,2,Manor Terrace,Seaton,EX12 2AR,United Kingdom,gary@halcyon-landscapes.co.uk,,Off,United Kingdom,,Off,Off,50.70959554,-3.070502282,1297625083,,,,1,Approved Installer,
82,Managed Acres Ltd,/location/managed-acres-ltd,,,14,Apollo Drive,Bordon,GU35 0DX,United Kingdom,ben.chick@managedacres.com,,Off,United Kingdom,,Off,Off,51.10792069,-0.852537609,7792710039,,,,1,Approved Installer,
83,CCE Landscaping,/location/cce-landscaping,,,,Kingsthorpe Road,"Kingthorpe, Northampton",NN2 6LT,United Kingdom,office@ccetrade.co.uk,,Off,United Kingdom,,Off,Off,52.2547504,-0.901574908,07941 431504,,,,1,Approved Installer,
84,Planning and Landscape Specialists,/location/planning-and-landscape-specialists,,,1,Lutyens Close,Macclesfield,SK10 3RX,United Kingdom,palslandscapes@hotmail.co.uk,,Off,United Kingdom,,Off,Off,53.2623171,-2.158241186,07734 958 134,,,,1,Approved Installer,
85,Sean Corrigan Paving & Landscaping,/location/sean-corrigan-paving-landscaping,,,3,Dolphinstone View,Prestonpans,EH32 9QU,United Kingdom,seancorrigan1@hotmail.co.uk,,Off,United Kingdom,,Off,Off,55.95352782,-2.982762692,07837 160 830,,,,1,Approved Installer,
86,Hallmark Sundecks,/location/hallmark-sundecks,,,Ivy Lodge,Mill Lane,"Driffield, Brandesburton",YO25 8QW,United Kingdom,olly@hallmarksundecks.co.uk,,Off,United Kingdom,,Off,Off,53.912613,-0.3037314,01754 811112,,,,1,Approved Installer,
87,The Garden Room Landscapes,/location/the-garden-room-landscapes,,,2,Rosewood Way,Woking,GU24 9PF,United Kingdom,,,Off,United Kingdom,,Off,Off,51.33878934,-0.643156657,,,,,1,Approved Installer,
88,GK Wilson Garden & Landscape Consultancy Ltd,/location/gk-wilson-garden-landscape-consultancy-ltd,,,35,Croft Manor,Glossop,SK13 8PP,United Kingdom,,,Off,United Kingdom,,Off,Off,53.44327907,-1.9387771,,,,,1,Approved Installer,
89,Kennetts Gardenscapes,/location/kennetts-gardenscapes,,,54,Croft Green,Dunstable,LU6 1EG,United Kingdom,kennetts@live.co.uk,,Off,United Kingdom,,Off,Off,51.88746528,-0.536142357,7968853153,,,,1,Approved Installer,
90,Thea Pitcher Outdoor Creations,/location/thea-pitcher-outdoor-creations,,,"The Cottage, 18",Beatrice Road,Oxted,RH8 0PZ,United Kingdom,thea_pitcher@hotmail.co.uk,"We specialise in a wide range of landscaping including bespoke carpentry and decking for outside plus interior carpentry. Fully trained, insured and with over 20 years experience. We offer a full CAD design service for gardens and carpentry. Externally, we specialise in Millboard decking, pergolas, built in furniture and cladding. We love being creative and strive for perfection in every job.",Off,United Kingdom,,Off,Off,51.25904005,-0.003251371,07757 337081,,,,1,Approved Installer,
91,NGM Carpentry,/location/ngm-carpentry,,,109,Winslade Road,Sidmouth,EX10 9EZ,United Kingdom,ngmcarpentry@hotmail.com,,Off,United Kingdom,,Off,Off,50.69081712,-3.241899357,07929 206690,,,,1,Approved Installer,
92,Cooper Joinery,/location/cooper-joinery,,,3,Barrow Lane,Hessle,HU13 0PJ,United Kingdom,kevcoops76@hotmail.co.uk,,Off,United Kingdom,,Off,Off,53.72314704,-0.440657744,7710469127,,,,1,Approved Installer,
93,A R Building & Joinery,/location/a-r-building-joinery,,,,Westfield Clun Road,Craven Arms,SY7 9QW,United Kingdom,morrisbuilding@btinternet.com,,Off,United Kingdom,,Off,Off,52.4384106,-2.852964959,7950319309,,,,1,Approved Installer,
94,Seacoast Landscapes,/location/seacoast-landscapes,,,38a,Seacoast Road,Limavady,BT49 9DW,United Kingdom,landscaping@seacoastgardencentre.com,,Off,United Kingdom,,Off,Off,55.06411367,-6.961158354,7736547335,,,,1,Approved Installer,
95,James Harvey Landscaping,/location/james-harvey-landscaping,,,15,Annahugh Road,Loughgall,BT61 8PQ,United Kingdom,james@jamesharveylandscaping.co.uk,,Off,United Kingdom,,Off,Off,54.41651817,-6.562463805,07739 883522,,,,1,Approved Installer,
96,Damian Sikorski,/location/damian-sikorski,,,14,Queen Mary Crescent,Clydebank,G81 2AB,United Kingdom,Dsikorski1507@gmail.com,,Off,United Kingdom,,Off,Off,55.90756867,-4.392734505,7712596387,,,,1,Approved Installer,
