id,title,uri,Grading,Internal Comment,Number,Address,City,Postcode,Country,Email Address,About,Display Centre,Store Address,Publish Date,Sells Cladding,Sells Decking,Lat,Lng,Telephone Number,Telephone Number 2,Key Distributor,Premier Distributor,Approved Installer,Type of Installer/Distributor,Website
72,Lawsons Salfords,/location/lawsons-salfords,Gold,,,Bonehurst Road,Salfords,RH6 8PP,United Kingdom,daren.stute@lawsons.co.uk,,Off,"Bonehurst Road
Salfords
RH6 8PP
United Kingdom",,On,On,51.1904378,-0.1635347,1293784459,,1,1,,"KEY Distributor, Premier Distributor",https://www.lawsons.co.uk
74,MKM Redruth,/location/mkm-redruth,Gold,,Unit 1,South Crofty Business Park,Camborne,TR14 8SA,United Kingdom,,,Off,"Unit 1
South Crofty Business Park
Camborne
TR14 8SA
United Kingdom",,Off,On,50.22316128,-5.276272999,01209 256666,,,,,Premier Distributor,
85,Composite Wood Shop,/location/composite-wood-shop,Ungraded,,Unit 1,Black Lamb Farm,Bunkers Hill,TN15 7EY,United Kingdom,,,Off,"Unit 1
Black Lamb Farm
Bunkers Hill
TN15 7EY
United Kingdom","Fri, 02/09/2024 - 09:07",Off,On,51.34981725,0.333827831,1474878877,,,,,,
86,CED Stone,/location/ced-stone,Ungraded,,Allandale,Bonnybridge,Falkirk,FK4 2HJ,United Kingdom,,,Off,"Allandale
Bonnybridge
Falkirk
FK4 2HJ
United Kingdom",,Off,On,55.98444763,-3.926221359,01324 841321,,,,,,
91,Green Barn Timbers,/location/green-barn-timbers,Ungraded,,Mill Farm,Causeway Rd,North Kyme,LN4 4DX,United Kingdom,SALES@GREENBARNTIMBERS.CO.UK,,Off,"Mill Farm
Causeway Rd
North Kyme
LN4 4DX
United Kingdom","Fri, 02/09/2024 - 09:07",Off,On,53.0639017,-0.289954888,01526 572672,,,,,Premier Distributor,https://www.greenbarntimbers.co.uk/
120,Tamar Trading Bodmin,/location/tamar-trading-bodmin,Gold,,Cooksland Industrial Estate,,Bodmin,PL31 2QB,United Kingdom,,,Off,"Cooksland Industrial Estate
Bodmin
PL31 2QB
United Kingdom",,Off,On,50.47302075,-4.70209063,01208 264700,,1,,,KEY Distributor,
124,Tunstall Garden Buildings UK Ltd,/location/tunstall-garden-buildings-uk-ltd,Silver,,160,Pinnox Street,Tunstall,ST6 6AD,United Kingdom,tunstallgb@mac.com,"Tunstall Garden Buildings, established since 1989 we are a family run business and over the years we have built up a reputation for outstanding quality and design, as well as excellent attention to detail. Our extensive product range has garden buildings for every use.",Display Center,"160
Pinnox Street
Tunstall
ST6 6AD
United Kingdom",,On,On,53.05529,-2.2041971,01782 832166,,,,,Premier Distributor,https://www.tgbuildings.co.uk/
127,ATF Supplies Nationwide Ltd,/location/atf-supplies-nationwide-ltd,Silver,,"Boundary House, 36A",Walworth Road,Andover,SP10 5LH,United Kingdom,sales@atfsuppliesuk.com,"Trusted since 1982, our vision is to revolutionise a slow and complex industry to make it fast and simple! To do this, we go the extra mile by being the UK’s fastest, friendliest and most flexible suppliers of premium fencing and landscaping products.",Off,"Boundary House, 36A
Walworth Road
Andover
SP10 5LH
United Kingdom","Fri, 02/09/2024 - 09:07",Off,On,51.21809812,-1.453934002,01264 366 211,,,1,,Premier Distributor,
128,Feelystone,/location/feelystone,Silver,,Feelystone Ltd,Greatmeadow,Boyle,F52 X327,Ireland,info@feelystone.ie,"Founded in 1780 by Christy Feely, Feelystone brings over 239 years of craftsmanship, expertise, quality, and history to your fingertips. 
We pride ourselves in supplying high quality products, sourcing only premium products from trusted suppliers - with quality control at the heart of our business.",Off,"Feelystone Ltd
Greatmeadow
Boyle
Ireland
F52 X327
Ireland",,Off,On,53.966839,-8.302501,3.54E+11,,,,,KEY Distributor,https://www.feelystone.ie
144,Garrards Timber Merchants,/location/garrards-timber-merchants,Ungraded,,Great Northern St,,Huddersfield,HD1 6BR,United Kingdom,sales@garrards-timber.co.uk,,Off,"Great Northern St
Huddersfield
HD1 6BR
United Kingdom","Fri, 02/09/2024 - 09:07",Off,On,53.6542347,-1.7795947,01484 428 321,,,,,,https://www.garrards-timber.co.uk/
147,MKM Aviemore,/location/mkm-aviemore,Ungraded,,UNIT 1,Dalfaber Industrial Estate,Aviemore,PH22 1ST,United Kingdom,aviemore@mkmbs.co.uk,"You may have noticed things look a little different to the last time you visited our site. Rest assured you are in the right place.
Spey Valley Timber & Builders Merchants have now joined the MKM family of builders' merchants.
The team at the branch will remain and be part of MKM Building Supplies Aviemore, so you will continue to see the same familiar faces and receive the same fantastic service, but with access to a wider range of products.",Off,"UNIT 1
Dalfaber Industrial Estate
Aviemore
PH22 1ST
United Kingdom",,Off,On,57.2023669,-3.8190139,01479 812 666,,,,,KEY Distributor,https://www.mkmbs.co.uk/branch/aviemore
150,Huws Gray Carlisle,/location/huws-gray-carlisle,Gold,,Sandysike Industrial Estate,,Longtown,CA6 5SR,United Kingdom,longtown@huwsgray.co.uk,,Off,"Sandysike Industrial Estate
Longtown
CA6 5SR
United Kingdom",,Off,On,54.9856522,-2.9551672,01228 792 485,,1,,,KEY Distributor,https://www.huwsgray.co.uk/
172,London Stone,/location/london-stone,Platinum,,3,"Tyburn Way, Erdington",Birmingham,B24 0AZ,United Kingdom,info@londonstone.co.uk,https://millboard.co.uk//location/london-stone-paving-ltd,Display Center,"3 
Tyburn Way, Erdington
Birmingham
B24 0AZ
United Kingdom",,Off,On,52.5087804,-1.8590487,01753 212950,,,1,,Premier Distributor,https://www.londonstone.co.uk/millboard-decking/
182,Excel Plastics,/location/excel-plastics,Silver,,"Unit 2a,",Phoenix Centre,Winsford,CW7 3PZ,United Kingdom,admin@excelplastics.co.uk,"As one of the longest standing decking companies within the industry, our fully trained and experienced staff have extensive knowledge of all of our products and are able to offer the personal touch when designing and installing your outdoor living space. 
We service all of the UK and have over 20 years’ experience. With our teams of skilled installers all across the UK we are able to offer a superb service from design to build. 
Please feel free to come and visit our showroom.",Display Center,"Unit 2a,
Phoenix Centre
Winsford
CW7 3PZ
United Kingdom","Fri, 02/09/2024 - 09:07",Off,On,53.19211817,-2.491418123,01260 253 322,,,1,,Premier Distributor,https://www.excelplastics.co.uk/
201,Elliotts Brothers Lymington,/location/elliotts-brothers-lymington,Platinum,,Ricardo Way,Ampress Park,"Lymington,",SO41 8JU,United Kingdom,gary.tippen@elliotts.uk,"Open to the trade and public for all your building materials, Branch Manager Gary and the team are here to help with everything for your building project. Including:
Bricks and blocks
Landscaping supplies
Tools from the biggest brands such as DeWALT, Makita and Paslode
Great stock levels of timber, including carcassing, sheet materials and mouldings
Drylining and insulation
Civils and drainage
Great stocks of roofing materials
Joinery – windows, flooring and doors
Painting and decorating
Everyday DIY essentials",Off,"Ricardo Way
Ampress Park
Lymington,
SO41 8JU
United Kingdom",,On,On,50.7720156,-1.5491712,1590646747,,,1,,Premier Distributor,
202,Nigel Belcher Stone Paving Ltd,/location/nigel-belcher-stone-paving-ltd,Platinum,,Rookery Farm,Long Lane,Curridge,RG18 9LY,United Kingdom,info@nigelbelcherstone.co.uk,"Nigel Belcher Turf & Paving Ltd are a one stop shop for your landscaping supplies. For over a decade we have supplied many of the premier landscapers in Berkshire, Oxfordshire, Surrey and Hampshire. 
Our delivery service is frequently praised, due to our flexible delivery options, including both crane and forklift off load vehicles. Though more importantly, our greatly valued, and extremely friendly delivery drivers always go the extra mile.
Situated in Curridge just off junction 13 of the M4, we have a fantastic outdoor display area, which is guaranteed to inspire your next project. For all visitors, there are free samples of our entire product range for you to take away.",Display Center,"Rookery Farm
Long Lane
Curridge
RG18 9LY
United Kingdom",,On,On,51.43897,-1.2842,01635 202 700,,1,1,,"KEY Distributor, Premier Distributor",https://www.nigelbelcherstone.co.uk/shop/decking-cladding/
203,Howarth Timber & Building Supplies,/location/howarth-timber-building-supplies,Gold,,"Market Street,",Church,Accrington,BB5 0DN,United Kingdom,mingham@howarth-timber.co.uk,"With over 175 years' trading experience, the Howarth Timber Group has grown to provide not only the widest range of products, but expertise, service and knowledge you can rely on. Now the UK's largest privately-owned timber company, our origins can be traced back to 1840 when we commenced trading as Hudson & Co. Over the years the Howarth Timber Group has expanded from a one man company to an employer of more than 1,000 people specialists who know the industry inside out.",Off,"Market Street, 
Church
Accrington
BB5 0DN
United Kingdom",,Off,On,53.750457,-2.390152,01254 380500,,1,1,,"KEY Distributor, Premier Distributor",https://www.howarth-timber.co.uk/
210,Crymych Building Supplies,/location/crymych-building-supplies,Silver,,Unit 11B,Parc Gwynfryn,Crymych,SA41 3RQ,United Kingdom,gary@crymychbuildingsupplies.co.uk,,Off,"Unit 11B 
Parc Gwynfryn
Crymych
SA41 3RQ
United Kingdom",,Off,On,51.98436219,-4.641722089,01239 831444,,,1,,Premier Distributor,
212,Tamar Trading Co Ltd,/location/tamar-trading-co-ltd,Gold,,Sawmills Yard,Bodmin Street,Holsworthy,EX22 6BB,United Kingdom,holsworthy@tamartrading.com,,Off,"Sawmills Yard
Bodmin Street
Holsworthy
EX22 6BB
United Kingdom","Fri, 02/09/2024 - 09:07",Off,On,50.80801575,-4.356239502,01409 253555,,,1,,Premier Distributor,http://tamartrading.com/store-locator/holsworthy/
239,MKM Dundee,/location/mkm-dundee,Ungraded,,28,Dunsinane Avenue,Dryburgh,DD2 3QA,United Kingdom,dundee@mkmbs.co.uk,"MKM Dundee is your new, local independent Building and Plumbing Merchant. We aim to be your one stop shop for all your Building, Timber, Plumbing and Heating supplies. At our purpose built site you will also find an inspiring Kitchen and Bathroom Showroom.We have a great team with a load of experience so please pop in to see us and experience our best in class service.",Off,"28
Dunsinane Avenue
Dryburgh
DD2 3QA
United Kingdom",,Off,On,56.4829037,-3.008824,01382 287287,,,,,KEY Distributor,https://www.mkmbs.co.uk/branch/dundee
241,Sydenhams Winchester,/location/sydenhams-winchester,Platinum,,"Winchester Trade Park,",Easton Lane,Winchester,SO23 7FA,United Kingdom,sales.winchester@sydenhams.co.uk,"Established in 1874 in Poole, Dorset - Sydenhams are able to supply you with all you need for your Building or DIY project.",Off,"Winchester Trade Park, 
Easton Lane
Winchester
SO23 7FA
United Kingdom","Fri, 02/09/2024 - 09:08",Off,On,51.06823534,-1.294710338,01962 877366,,1,1,,"KEY Distributor, Premier Distributor",https://www.sydenhams.co.uk/
255,Chiltern Timber Supplies Ltd,/location/chiltern-timber-supplies-ltd,Platinum,,"Unit DC4, Prologis Park","Maylands Gateway, Blossom Way",Hemel Hempstead,HP2 4ZB,United Kingdom,sales@chilterntimber.co.uk,"Chiltern Timber has an excellent reputation for high-quality products and service, combined with value for money - aiming to offer unbeatable quality, dedicated service and prompt delivery to our customers. With experienced staff at hand, there’s always plenty of expert advice available.
Where possible, our stock is certified to FSC & PEFC and National Standards. A bespoke cutting service is available by our extensive and experienced mill. A one-stop for all your trade and DIY needs.",Display Center,"Unit DC4, Prologis Park
Maylands Gateway, Blossom Way
Hemel Hempstead
HP2 4ZB
United Kingdom",,On,On,51.757802,-0.432844,01442 248444,,1,1,,"KEY Distributor, Premier Distributor",http://www.chilterntimber.co.uk/product-category/millboard-composite-decking/
258,McMahons Builders Providers Galway,/location/mcmahons-builders-providers-galway,Platinum,,Tuam Road,Two Mile Ditch,Galway,H91TK40,United Kingdom,mfeehily@jmcmahon.com,,Off,"Tuam Road
Two Mile Ditch
Galway
H91TK40
United Kingdom","Fri, 02/09/2024 - 09:08",Off,On,53.2931252,-9.0179216,00353 91 751 862,,1,,,KEY Distributor,https://www.mcmahons.ie
259,McMahons Builders Providers Omagh,/location/mcmahons-builders-providers-omagh,Platinum,,18,Dromore Road,Omagh,BT78 1QZ,United Kingdom,,,Off,"18
Dromore Road
Omagh
BT78 1QZ
United Kingdom",,Off,On,54.59596994,-7.309742552,028 8225 2688,,1,,,KEY Distributor,https://www.mcmahons.ie/
259,Abbey Woods Ltd,/location/abbey-woods-ltd,Silver,,143 Grange Drive,"Baldoyle Industrial Estate, Grange Drive",Dublin 13,D13 W9V2,United Kingdom,Dublin@abbeywoods.ie,,Off,"143 Grange Drive
Baldoyle Industrial Estate, Grange Drive
Dublin 13
D13 W9V2
United Kingdom",,Off,On,53.3949864,-6.1452975,+353 01839 3435,,,,,,https://www.abbeywoods.ie
260,McMahons Builders Providers Londonderry,/location/mcmahons-builders-providers-londonderry,Platinum,,15a,Bay Road,Derry,BT48 7SH,United Kingdom,,,Off,"15a 
Bay Road
Derry
BT48 7SH
United Kingdom",,Off,On,55.01460894,-7.306251624,028 7136 6321,,1,,,KEY Distributor,https://www.mcmahons.ie/
261,McMahons Builders Providers Coleraine,/location/mcmahons-builders-providers-coleraine,Platinum,,255,Dunhill Road,Coleraine,BT51 3QJ,United Kingdom,,,Off,"255
Dunhill Road
Coleraine
 BT51 3QJ
United Kingdom",,Off,On,55.09984072,-6.702381895,028 7035 5919,,1,,,KEY Distributor,https://www.mcmahons.ie/
264,CJC (Worcester) Ltd - Aggregates & Landscaping Supplies,/location/cjc-(worcester)-ltd---aggregates-landscaping-supplies,Gold,,"Cowsden Bank Farm,",Naunton Road,Upton Snodsbury,WR7 4NU,United Kingdom,info@cjcaggregates.co.uk,CJC (Worcester) Ltd is a true independent Landscaping Supplies retailer dedicated to supplying the local area within 30 miles of their base just outside Worcester. Specialising in providing everything for the landscaper; both for Trade and Public with friendly service and exceptional delivery service. Focusing on delivering quality in all their product offer from Aggregates to Fencing to Paving to Topsoils and Compost becoming a stockist of Millboard was a natural fit for CJC. With a wide range of stock on display their experienced and friendly staff are on hand 6 days a week to help you with your Millboard project.,Off,"Cowsden Bank Farm,
Naunton Road
Upton Snodsbury
WR7 4NU
United Kingdom",,Off,On,52.17548865,-2.069558236,01905 381195,,,1,,Premier Distributor,https://www.cjcaggregates.co.uk/
273,Daniel Browne Construction,/location/daniel-browne-construction,Ungraded,"No postcode, remove?",1,Mulcair Road,Raheen,,United Kingdom,danielbrowne1@yahoo.ie,,Off,"1
Mulcair Road
Raheen
United Kingdom","Fri, 02/09/2024 - 09:08",Off,Off,52.6331668,-8.6435359,087 6514458,,,,,,
274,JT Atkinson,/location/jt-atkinson,Platinum,,"JT Atkinson,","Mintsfeet Road South, Mintsfeet Industrial Estate",Kendal,LA9 6ND,United Kingdom,kendal@jtatkinson.co.uk,"JT Atkinson is a family-owned independent Builders' merchant with over 160 years experience in the supply of building materials.
With our head office and 29 branches located in Tyne and Wear, Durham, Teesside, North Yorkshire, West Yorkshire and Cumbria, the company is able to supply materials to customers across the North of England.",Off,"JT Atkinson,
Mintsfeet Road South, Mintsfeet Industrial Estate
Kendal
LA9 6ND
United Kingdom",,Off,On,54.3348638,-2.7431418,01539 721911,,1,1,,"KEY Distributor, Premier Distributor",
278,Allen & Orr,/location/allen-orr-1,Ungraded,,Cherry Tree Rd,,Doncaster,DN4 0BJ,United Kingdom,james@allen-orr.co.uk,,Off,"Cherry Tree Rd
Doncaster
DN4 0BJ
United Kingdom","Thu, 02/22/2024 - 17:41",Off,On,53.5163265,-1.1454046,01302 342 359,,,,,,
289,Buildbase Exmouth,/location/buildbase-exmouth,Ungraded,,,Salterton Road,Exmouth,EX8 2NS,United Kingdom,,,Off,"Salterton Road
Exmouth
EX8 2NS
United Kingdom",,Off,On,50.62915995,-3.38294033,01395 269462,,,,,Premier Distributor,
290,MKM Building Supplies Stirling,/location/mkm-building-supplies-stirling,Gold,,MKM,Kerse Road,Stirling,FK7 7RZ,United Kingdom,stirling@mkmbs.co.uk,,Off,"MKM
Kerse Road
Stirling
FK7 7RZ
United Kingdom",,Off,On,56.11225083,-3.921950311,01786 240 111,,1,,,KEY Distributor,https://www.mkmbs.co.uk/
300,MKM Building Supplies Burnley,/location/mkm-building-supplies-burnley,Ungraded,,Unit 26,"Empire Business Park, Enterprise Way",Burnley,BB12 6LT,United Kingdom,Chris.O'Brien@MKMBS.co.uk,,Off,"Unit 26
Empire Business Park, Enterprise Way
Burnley 
BB12 6LT
United Kingdom",,Off,On,53.7897197,-2.2874613,1282883100,,,,,KEY Distributor,
301,Home Build Supplies,/location/home-build-supplies,Silver,,622c,Western Avenue,London,W3 0TF,United Kingdom,tradesales@homebuilds.co.uk,"We are a long established independent builders merchants based in London, supplying building materials to the trade and public.
We offer a wide range and with over 10,000 products under one roof, you will find everything you need for professional and DIY building products.
Our fully trained staff are always on hand to offer expert advice.",Off,"622c
Western Avenue
London
W3 0TF
United Kingdom",,Off,On,51.52738911,-0.280838013,0208 22 66 888,,1,,,"KEY Distributor, Premier Distributor",https://www.homebuilds.co.uk/
315,Lawsons Crawley,/location/lawsons-crawley,Gold,,Lawsons Crawley,Telford Place,Crawley West,RH10 1SY,United Kingdom,crawley@lawsons.co.uk,"Lawson and Son Timber Merchant was established in 1921 in North London, becoming Lawsons Whetstone Ltd in 1931. 
Lawsons pride themselves on being a professional, knowledgeable, responsive and friendly independent one-stop timber, building and fencing merchant, operating throughout London and the South East.",Off,"Lawsons Crawley
Telford Place
Crawley West
RH10 1SY
United Kingdom","Fri, 02/09/2024 - 09:08",Off,On,51.1126905,-0.180163603,1293535054,,1,1,,"KEY Distributor, Premier Distributor",
328,Luxury Outdoor Spaces,/location/luxury-outdoor-spaces,Platinum,,Unit 3 Velo Business Park,Belle Vue Road,Manchester,M12 4AS,United Kingdom,info@luxuryoutdoorspaces.co.uk,"Luxury Outdoor Spaces is a leading one stop outlet for quality decking products. We supply to both Trade and Retail and pride ourselves on our experience in selling Millboard products. We have experienced staff to help you design and enjoy your outdoor living space. Our staff have been trained with Millboard products. Need help with planning? Visit our showroom in Cheshire to visualize your dream. Our design, supply & install brand is Luxury Outdoor Spaces, visit us at www.luxuryoutdoorspaces.co.uk",Display Center,"Unit 3 Velo Business Park
Belle Vue Road
Manchester
M12 4AS
United Kingdom","Fri, 02/09/2024 - 09:08",Off,On,53.46109238,-2.197958486,0161 989 5974,,1,1,1,"KEY Distributor, Approved Installer, Premier Distributor",https://www.luxuryoutdoorspaces.co.uk/
329,David Lewis Builder,/location/david-lewis-builder,Ungraded,,8 Llandrios Road,Penrllyn Bay,Llandudno,LL30 3HP,United Kingdom,davidlewisbuilders@gmail.com,,Off,"8 Llandrios Road
Penrllyn Bay
Llandudno
LL30 3HP
United Kingdom","Thu, 02/22/2024 - 18:00",Off,On,53.3137129,-3.7698448,7768757872,,,,,,
338,Sydenhams Wareham,/location/sydenhams-wareham,Platinum,,Sandford Farm,Sandford Lane,Wareham,BH20 4DY,United Kingdom,sales.wareham@sydenhams.co.uk,"Established in 1874 in Poole, Dorset - Sydenhams are able to supply you with all you need for your Building or DIY project.",Off,"Sandford Farm
Sandford Lane
Wareham
BH20 4DY
United Kingdom","Fri, 02/09/2024 - 09:08",On,On,50.69436321,-2.108749887,01202 673646,,1,1,,"KEY Distributor, Premier Distributor",https://www.sydenhams.co.uk/landscaping/composite-decking/millboard/
339,Sydenhams Newport (Isle Of Wight),/location/sydenhams-newport-(isle-of-wight),Platinum,,"Sydenhams Builders Merchants Ltd,",Forest Road,Newport,PO30 5YS,United Kingdom,sales.newportbm@sydenhams.co.uk,"Established in 1874 in Poole, Dorset - Sydenhams are able to supply you with all you need for your Building or DIY project.",Off,"Sydenhams Builders Merchants Ltd, 
Forest Road
Newport
PO30 5YS
United Kingdom","Fri, 02/09/2024 - 09:08",Off,On,50.70477765,-1.334771841,01983 532320,,1,1,,"KEY Distributor, Premier Distributor",https://www.sydenhams.co.uk/
354,McMahons Builders Providers Tralee,/location/mcmahons-builders-providers-tralee,Platinum,,Clash industrial Estate,Tralee,Kerry,V92XR24,United Kingdom,jriordan@jmcmahon.com,,Off,"Clash industrial Estate
Tralee
Kerry
V92XR24
United Kingdom",,Off,On,52.2733193,-9.6799716,00353 66 712 6647,,1,,,KEY Distributor,https://www.mcmahons.ie
